ID,URL,Is lighting product?,Extracted_Content
P-0,https://a4b6eb24-cef6-4be0-88b1-aa225dd7e4f7.usrfiles.com/ugd/a4b6eb_617bfed66731495e997bcacd789777ad.pdf,Yes,"FEATURES
•Different color and beam configurations available.
•Aluminum alloy housing, high heat dissipation performance.
•Universal power supply.
•Easy Installation.
•3-Year Warranty.
•Electrical Input: 100-277 VAC
•ETL Listed
•25W
DECORS LED DUAL LIGHT
LED DUAL light
©Decors USA LLC
Phone: 866.248.6300 | 732.486.8520 | www.decorsusa.com | sales@decorsusa.com
A
V
AILABLE COLORS
•Blue •Green •Amber •Warm White (3000K) •Cool  White (5000K) •Red • Purple
DECORS LED DUAL LIGHT
LED DUAL light
©Decors USA LLC
Phone: 866.248.6300 | 732.486.8520 | www.decorsusa.com | sales@decorsusa.com
15°
120°
120°
150°
150°
PHOTOMETRICS
H(m)
2.00
5.00
10.00
15.00
Medlux
3347.2
546.2
133.9
33.3
Maxlux
4904.3
784.8
196.2
48.8
25°
120°
120°
150°
150°
H(m)
2.00
5.00
10.00
15.00
Medlux
873
139.5
34.7
8
Maxlux
1312.3
203.7
49.3
12.5
"
P-1,https://a4b6eb24-cef6-4be0-88b1-aa225dd7e4f7.usrfiles.com/ugd/a4b6eb_c53e05a13ae1462eabbdc1c66c1efbb8.pdf,Yes,"Recommended Use:
•Architectural
•Landscaping
•General exterior lighting of
hotels, signs, flags, multi-unit
residential, commercial, and
government buildings.
24 led up light
DU-SQ-HW24
DETAILS
LIGHT SOURCE 
24x Cree 1 W LED Lamps
POWER CONSUMPTION 
32W
BEAM WIDTH
25 Degree
MEASUREMENT 
9-3/4”L x 7-3/4”W x 4-1/2”H
WEIGHT
17 Lbs
12 led DOWNlight
DU-SQ-HW12
*Includes DU-WS12 (Sconce)
DETAILS
LIGHT SOURCE 
12x1 W Cree LED Lamps
POWER CONSUMPTION 
13W
BEAM WIDTH
15 Degree
MEASUREMENT 
7-3/4”L x 6”W x 4-1/4”H
WEIGHT
13 Lbs
©Decors USA LLC
Phone: 866.248.6300 | 732.486.8520 | www.decorsusa.com | sales@decorsusa.com
Mount for 12 LED Downlight and 24 LED UP Light
DECORS Hallmark LED LIGHTS
DETAILS
MEASUREMENT 
10”W x 12”H x 5”D
WEIGHT
8 Lbs
• All-weather outdoor use
• IP65 rated.
• Environmental Temp. Range: -
7.6° to 113° F (-20° to 45° C)
• Electrical Input:  90-265VAC
• LED UP Light comes with
Mounting Brackets
hallmark
LED LIGHTS
SCONCE COVERS
DU-WS12 & DU-WS24
Decors USA Provides the UL Listed 12 LED and 24 LED lights in various colors:
COLOR
White
Warm White
Red
Green
Blue
Amber
Purple
LUMENS
1680 lm
1440 lm
840 lm
680 lm
600 lm
960 lm
640 lm
CT (WAVE LENGTH)
5000-7000K
2700-3200K
620-630 nm
520-530 nm
450-475 nm
585-595 nm
420-435 nm
PROJECTION DISTANCE: 20M Based on 24 LED lights at 32 watts total
a
v
ailable colors
and illumination
©Decors USA LLC
Phone: 866.248.6300 | 732.486.8520 | www.decorsusa.com | sales@decorsusa.com
DECORS Hallmark LED LIGHTS
mounting instructions
©Decors USA LLC
Phone: 866.248.6300 | 732.486.8520 | www.decorsusa.com | sales@decorsusa.com
DU-SQ-HW12 with DU WS12
Parts
1. 12 LED Light Fixture (DU-SQ-HW12)
2. Sconce Cover (DU WS12)
3. Fixture Mounting Screws 3/16” (2) / Sconce Cover Mount-
ing Screws (4)
4. Wall Anchor Screws 3/8” (6) Not Included.
5. Weatherproof Junction Box, Weather Proof Cover with one
1/2” outlet and Weatherproof Cable Connection. Not includ-
ed.
Installation
CAUTION: Do not attempt to open the unit. Opening 
the unit will damage the factory installed water tight seal, 
which will void the warranty of the fixture.
1. All wiring and installation should be done by a licensed
electrician.
2. Disconnect power before installation. Please note: the
120-volt single phase wiring serving this fixture shall be photo
sensor controlled for higher energy efficiency and extended
life.
3. Mark the location on the wall or column where the fixture
needs to be installed. The location shall NOT be less than 4 ft
from ground level.
4. Install an exterior weatherproof junction box with 120/230
Volt single phase wiring appropriate for a 100-watt exterior
light fixture.
5. Using the wall mount as a guide, mark 6 holes around
junction box. Drill 3/8” holes on the marked location. Attach
the wall mounts using six anchor screws.
6. Attach the Sconce Cover with six anchor screws.
7. Mount the fixture using two fixture mounting screws and
adjust the angle for desired light effect.
8. Connect the fixture cable to the junction box using the
weatherproof cable connector. Attach a weatherproof cover
to the junction box. Attach Sconce Cover using four mounting
screws.
DU-SQ-HW24
Parts
1. 24 LED Light Fixture (DU-SQ-HW24)
2. Mounting Brackets (2)
3. Fixture Mounting Screws 3/16” (2)
4. Wall Anchor Screws 3/8” (6) Not Included.
5. Weatherproof Junction Box, Weather Proof Cover with
one 1/2” outlet and Weatherproof Cable Connection. Not
included.
Installation
CAUTION: Do not attempt to open the unit. Opening 
the unit will damage the factory installed water tight 
seal, which will void the warranty of the fixture.
1. All wiring and installation should be done by a licensed
electrician.
2. Disconnect power before installation. Please note: the
120-volt single phase wiring serving this fixture shall be
photo sensor controlled for higher energy efficiency and
extended life.
3. Mark the location on the wall or column where the fixture
needs to be installed. The location shall NOT be less than 4
ft from ground level.
4. Install an exterior weatherproof junction box with
120/230 
Volt single phase wiring appropriate for a 100-watt
exterior light fixture.
5. Using the mounting bracket as a guide, mark four holes
around junction box. Drill 3/8” holes on the marked location. 
6. Attach the Mounting Brackets with four anchor screws.
7. Mount the fixture using two fixture mounting screws and
adjust the angle for desired light effect.
8. Connect the fixture cable to the junction box using the
weatherproof cable connector. Attach a weatherproof cover
to the junction box. 
DECORS Hallmark LED LIGHTS
DU-cr-4/6-cwx-p
LIGHT DATA
LED 
CREE XRE
LED NUMBER 
4
COLOR 
COOL WHITE
LUMEN OUTPUT 
300 LM
MAX EFFICACY 
75
IP RATING 
65
2”
Supply Voltage
Input Frequency
Input Power
Lifetime
PERFORMANCE PARAMETERS
90V ~ 132V AC
50/60 Hz
5W
30,000h
Material
Surface Treatment
APPEARANCE AND MATERIAL
Aluminum Alloy, PC
Silver gray painted
ETL Listed
LED “X” Light
©Decors USA LLC
Phone: 866.248.6300 | 732.486.8520 | www.decorsusa.com | sales@decorsusa.com
DECORS Hallmark LED LIGHTS
6”
"
P-2,https://myelektralite.com/assets/1018-AI-Outdoor-Data-Sheet-V2.pdf,Yes,
P-3,https://myelektralite.com/assets/1018-Data-Sheet-V2.pdf,Yes,
P-4,https://myelektralite.com/assets/1018AI-Data-Sheet-V2.pdf,Yes,
P-5,https://myelektralite.com/assets/DataAir-Data-Sheet-V2.pdf,No,
P-6,https://myelektralite.com/assets/DataFire-Data-Sheet-V2.pdf,No,
P-7,https://myelektralite.com/assets/ElektraBar-Data-Sheet-V2.pdf,Yes,
P-8,https://myelektralite.com/assets/ElektraBar-Mini-Data-Sheet-V2.pdf,Yes,
P-9,https://myelektralite.com/assets/ElektraLite-elektraBar-mini-menus-V2.pdf,No,
P-10,https://myelektralite.com/assets/Fresnel-Mini.pdf,Yes,
P-11,https://myelektralite.com/assets/IP65-Stingray-Profile.pdf,Yes,
P-12,https://en.everlight.com/wp-content/plugins/ItemRelationship/product_files/pdf/031-IRM-37XXT_Series_data.pdf,No,"EVERLIGHT ELECTRONICS CO.,LTD. 
  Everlight Electronics Co., Ltd.          http:\\www.everlight.com             Rev 1       Page: 1 of 10 
  Device No：SZDMO-037-031         Prepared date：31-August-2007           Prepared by： Liuyan 
Technical Data Sheet 
Infrared Remote-control Receiver Module 
 
IRM-37xxT SERIES 
Features 
• Photo detector and preamplifier in one package 
• Internal filter for PCM frequency 
• Improved inner shielding against electrical field disturbance 
• TTL and CMOS compatibility 
• Low power consumption 
• Improved immunity against ambient light 
• Suitable burst length 
10 cycles1
burst
≧≧
 
• Pb free 
 
• BiCMOS manufacture IC ; ESD HBM>4000V ; MM>250V 
• The product itself will remain within RoHS compliant version. 
 
Descriptions 
The IRM-37xxT is miniaturized receivers for infrared remote control systems. 
PIN diode and preamplifier are assembled on lead frame, the epoxy package is  
designed as IR filter. The demodulated output signal can directly be decoded by 
a microprocessor.IRM-37xxT is the standard IR remote control receiver 
series, supporting all major transmission codes. 
 
Applications    
․Light detecting portion of remote control 
․AV instruments such as Audio, TV, VCR, CD, MD, etc. 
․Home appliances such as Air-conditioner, Fan , etc. 
․The other equipments with wireless remote control. 
․CATV set top boxes 
․Multi-media Equipment 
 
 
PART 
MATERIAL 
COLOR 
Chip 
Silicon 
Black 
Compound 
Epoxy 
Black 
 
 
 
 
 
 
　
Ver.:1     Release Date:09/19/2008      狀態:Approved(正式發行)
EVERLIGHT ELECTRONICS CO.,LTD. 
  Everlight Electronics Co., Ltd.          http:\\www.everlight.com             Rev 1       Page: 2 of 10 
  Device No：SZDMO-037-031         Prepared date：31-August-2007           Prepared by： Liuyan 
 
IRM-37xxT SERIES  
 
Package Dimensions   
            
 
Unit:mm 
Notes:  1.All dimensions are in millimeters. 
         2.Tolerances unless dimensions ±0.3mm. 
 
Available Types For Different Carrier Frequencies 
Type 
Carrier Frequencies (Typ) 
IRM-3736T 
36 kHz 
IRM-3738T 
38 kHz 
IRM-3740T 
40 kHz 
IRM-3756T 
56 kHz 
 
　
Ver.:1     Release Date:09/19/2008      狀態:Approved(正式發行)
EVERLIGHT ELECTRONICS CO.,LTD. 
  Everlight Electronics Co., Ltd.          http:\\www.everlight.com             Rev 1       Page: 3 of 10 
  Device No：SZDMO-037-031         Prepared date：31-August-2007           Prepared by： Liuyan 
 
IRM-37xxT SERIES 
Absolute Maximum Ratings (Ta=25℃) 
Parameter 
Symbol
Rating 
Unit 
Notice 
Supply Voltage 
Vcc 
0~6 
V 
 
Operating Temperature 
Topr 
-25 ~ +80 
℃ 
 
Storage Temperature 
Tstg 
-40 ~ +85 
℃ 
 
Soldering Temperature 
Tsol 
260 
℃ 
4mm from mold body 
less than 10 seconds 
 
Recommended Operating Condition 
Supply Voltage Rating: Vcc 2.7V to 5.5V 
Electro-Optical Characteristics (Ta=25℃, and Vcc=3V) 
Parameter 
Symbol
MIN. 
TYP. 
MAX.
Unit 
Condition 
Consumption Current 
Icc 
--- 
1.0 
1.2 
mA 
No signal input
Peak Wavelength 
λp 
--- 
940 
--- 
nm 
 
Reception Distance 
L0 
14 
--- 
--- 
m 
 
L45 
6 
--- 
--- 
Half Angle(Horizontal) 
Θh 
--- 
45 
--- 
deg 
At the ray axis
*1 
Half Angle(Vertical) 
Θv 
--- 
45 
--- 
deg 
 
High Level Pulse Width 
TH 
400 
--- 
800 
μs 
At the ray axis
*2 
Low Level Pulse Width 
TL 
400 
--- 
800 
μs 
High Level Output Voltage 
VH 
2.7 
--- 
--- 
V 
 
Low Level Output Voltage 
VL 
--- 
--- 
0.5 
V 
 
Notes: 
*1:The ray receiving surface at a vertex and relation to the ray axis in the range of θ= 0° and θ=45°. 
*2:A range from 30cm to the arrival distance.  Average value of 50 pulses. 
 
 
 
　
Ver.:1     Release Date:09/19/2008      狀態:Approved(正式發行)
EVERLIGHT ELECTRONICS CO.,LTD. 
  Everlight Electronics Co., Ltd.          http:\\www.everlight.com             Rev 1       Page: 4 of 10 
  Device No：SZDMO-037-031         Prepared date：31-August-2007           Prepared by： Liuyan 
 
IRM-37xxT SERIES 
 
Test Method： 
 The specified electro-optical characteristics is satisfied under the following 
 Conditions at the controllable distance. 
 
 Measurement place 
   A place that is nothing of extreme light reflected in the room. 
 External light 
   Project the light of ordinary white fluorescent lamps which are not high 
   Frequency lamps and must be less then 10 Lux at the module surface.  
   (Ee≦10Lux) 
 Standard transmitter 
   A transmitter whose output is so adjusted as to Vo=400mVp-p and the output 
   Wave form shown in Fig.-1.According to the measurement method shown in 
   Fig.-2 the standard transmitter is specified. 
   However , the infrared photodiode to be used for the transmitter should be 
   λp=940nm,Δλ=50nm. Also, photodiode is used of PD438B(Vr=5V). 
   (Standard light 1
 Light source temperature 2856°K). 
 Measuring system 
   According to the measuring system shown in Fig.-3 
 
Block Diagram： 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Modulated IR signal 
